name,abbreviation,url,id,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,publications
International COVID-19 Data Alliance,ICODA,https://icoda-research.org/,4070,"Convened by Health Data Research UK, the national institute for health data in the UK, ICODA was an open and inclusive global collaboration of leading life science, philanthropic and research organisations that came together to harness the power of health data to respond to the COVID-19 pandemic. Building on the ICODA programme, HDR UK has now convened the HDR Global programme which seeks to assist with data science skills and enable trustworthy data access, re-use and analysis in regions, communities and disease areas, where evidence to tackle threats to public health is lacking
",deprecated,repository,"United Kingdom, Worldwide",2020,"Mastercard (United Kingdom); Bill and Melinda Gates Foundation; Microsoft Corporation; Chan Zuckerberg Initiative, Redwood City, CA, USA; The Wellcome Trust; Minderoo Fundation",Company; Charitable foundation,,,Andrew Morris,andrew.morris@hdruk.ac.uk,controlled,open,
Johns Hopkins Coronavirus Resource,,https://coronavirus.jhu.edu/map.html,2923,"The Johns Hopkins Coronavirus Resource Center was first shared publicly on January 22nd 2020 to provide researchers, public health authorities, and the general public with a user-friendly tool to track the outbreak as it unfolds.",deprecated,knowledgebase,United States,2020,,,"Department of Civil and Systems engineering, John Hopkins University, Baltimore, USA",University,,COVID19map@jhu.edu,partially open,not applicable,
KnetMiner,KnetMiner,https://knetminer.com,3618,"KnetMiner is a knowledge platform for genes, traits, diseases and their interactions across species. We integrate a range of open-access data, transform into a knowledge graph and augment with new text-mined relationships. Free KnetMiner resources include Arabidopsis, wheat, rice and COVID-19 (publicly funded). Many other species specific datasets can be subscribed to for a fee. In addition to web-based access, the knowledge graphs can also be accessed programmatically through RDF-SPARQL and Neo4j-Cypher endpoints.",ready,knowledgebase,United Kingdom,2015,"Biotechnology and Biological Sciences Research Council (BBSRC), UK",Government body,,,Keywan Hassani-Pak,pakk@rothamsted.ac.uk,controlled,not applicable,10.1111/pbi.13583
Kyoto Encyclopedia of Genes and Genomes,KEGG,https://www.genome.jp/kegg/,2189,"KEGG is a database resource for understanding high-level functions and utilities of the biological system, such as the cell, the organism and the ecosystem, from molecular-level information, especially large-scale molecular datasets generated by genome sequencing and other high-throughput experimental technologies.",ready,knowledgebase_and_repository,Japan,1995,,,"Bioinformatics Center, Institute for Chemical Research, Kyoto University, Kyoto,Japan; Institute of Medical Science, University of Tokyo, Tokyo, Japan; Kanehisa Laboratories, Kyoto, Japan",University; Lab,Minoru Kanehisa,kanehisa@kuicr.kyoto-u.ac.jp,open,not applicable,10.1093/nar/gkt1076; 10.1002/0471250953.bi0112s38; 10.1093/nar/gkr988
Lens ,,https://www.lens.org/,2962,"The Lens is building an interactive tool for understanding the landscape of patent and research works in any domain, including human coronaviruses and COVID-19.",ready,knowledgebase,Australia,2020,"Rockefeller Foundation, New-York, NY, USA",Charitable foundation,,,General contact,support@lens.org,partially open,controlled,
LitCovid,LitCovid,https://www.ncbi.nlm.nih.gov/research/coronavirus/,2924,"LitCovid is a curated literature hub for tracking up-to-date scientific information about the 2019 novel Coronavirus. It is the most comprehensive resource on the subject, providing a central access to 5645 (and growing) relevant articles in PubMed. The articles are updated daily and are further categorized by different research topics and geographic locations for improved access.",ready,knowledgebase,United States,2020,"National Library of Medicine (NLM), Bethesda, MD, USA; USA.gov",Government body,"NCBI Computational Biology Branch, Bethesda, MD, USA; NLM/NCBI BioNLP Research Group, Bethesda, MD, USA",Research institute; Lab,Zhiyong Lu,Zhiyong.Lu@nih.gov,open,not applicable,10.1038/d41586-020-00694-1; 10.1093/nar/gkaa952; 10.1093/nar/gkac1005
MS Global Data-Sharing Initiative,,https://www.qmenta.com/covid19-patients_ms/,3293,"The Multiple Sclerosis International Federation (MSIF) and the Multiple Sclerosis Data Alliance (MSDA) have teamed up to form a Global Data Sharing Initiative to achieve insights on the effect of COVID-19 in people with MS as fast as possible, with the intent to steer clinical decision-making during the pandemic.",deprecated,repository,Worldwide,2020,,,"Multiple Sclerosis (MS) Data Alliance; QMENTA, Boston, MA, USA; Multiple Sclerosis International Federation, London, UK",Company; Consortium; Charitable foundation,Ariadna Torrens,ariadna.torrens@qmenta.com,not found,not found,
McMaster Multi-Regional Hospital Coronavirus Registry,COREG,https://www.coregontario.ca/,4064,"The Coronavirus (COVID-19) Registry (COREG) is a comprehensive registry platform that facilitates uniform data collection of patients both tested for COVID-19 and those admitted with suspected or confirmed COVID-19.  It is an extension of the ISARIC-WHO case report form (CRF) to capture information of local importance to understand spread, disease course, and comparative outcomes.
",deprecated,repository,Canada,2020,Canadian Institutes of Health Research; Hamilton Academic Health Sciences Organization,Research institute; Government body,McMaster University,University,General contact; Catalina Lopez-Correa,info@coregontario.ca; clopez@genomecanada.ca,controlled,controlled,10.1007/s11739-021-02637-8
Medical Imaging and Data Resource Center,MIDRC,https://www.midrc.org/,4081,"Representatives of the American College of Radiology® (ACR®), the Radiological Society of North America (RSNA), and the American Association of Physicists in Medicine (AAPM) have jointly developed the  Medical Imaging and Data Resource Center (MIDRC) for rapid and flexible collection, artificial intelligence analysis, and dissemination of imaging and associated data. MIDRC is hosted at the University of Chicago. 
",ready,repository,United States,2021,National Institute of Biomedical Imaging and Bioengineering,Undefined,,,Maryellen L. Giger,l332@uchicago.edu,open,open,10.1016/S2589-7500(22)00063-2
Mouse Genome Database - a Mouse Genome Informatics (MGI) Resource,MGI,http://www.informatics.jax.org/,1955,"MGI is the international database resource for the laboratory mouse, providing integrated genetic, genomic, and biological data to facilitate the study of human health and disease. Data includes gene characterization, nomenclature, mapping, gene homologies among mammals, sequence links, phenotypes, allelic variants and mutants, and strain data.",ready,knowledgebase_and_repository,United States,1994,"National Human Genome Research Institute (NHGRI), Bethesda, MD, USA",Government body,Mouse Genome Informatics (MGI),Consortium,MGI User Support,mgi-help@jax.org,open,open,10.1093/nar/gkt1225; 10.1093/nar/gks1115; 10.1007/978-1-4939-6427-7_3; 10.1093/ilar/ilx013; 10.1093/nar/gkr974; 10.1093/nar/gkw1040; 10.1126/science.8091224; 10.1093/nar/gki113; 10.1093/nar/gky922; 10.1093/nar/gky1056
Multi-year Long COVID study,,https://en.c-support.nu/data-aanvraag-meerjarig-long-covid-onderzoek/,6804,"In February 2022, C-support, together with Erasmus MC, started a large-scale multi-year study into Long COVID. People who had been registered with C-support up to January 2022 with long-term symptoms after a COVID-19 infection and who completed the 1th questionnaire are invited annually for an extensive questionnaire. So far there have been three rounds of questionnaires: more than 11.000 people have completed the 1th questionnaire and approximately 8.000 people completed the 2nd and/or 3rd questionnaire.

An overview of the topics per questionnaire and more information is available on our website: https://en.c-support.nu/data-aanvraag-meerjarig-long-covid-onderzoek/

You can request a portion of this data to use for your own research or analyses. We can also perform analyses for you, such as creating customized summary tables and/or graphs.

About C-support: C-support supports people with long-term symptoms after COVID-19 or a COVID-19 vaccination. In addition, C-support shares knowledge with (healthcare) professionals and promotes research, for example by making data available.",ready,repository,Netherlands,2022,,,C-support,Charitable foundation,C-support,onderwijsenonderzoek@q-support.nu,controlled,not found,10.1186/s12913-024-11488-w; 10.3389/fepid.2023.1144707; 10.1017/S0950268823001139
NCBI Genetic Sequence Database,GenBank,https://www.ncbi.nlm.nih.gov/genbank/,1547,"GenBank ® is the NIH genetic sequence database of annotated collections of all publicly available DNA sequences. GenBank is part of an International Nucleotide Sequence Database Collaboration, which comprises the DNA DataBank of Japan (DDBJ), the European Nucleotide Archive (ENA), and GenBank at NCBI. The GenBank database is designed to provide and encourage access within the scientific community to the most up-to-date and comprehensive DNA sequence information, and release available versioned collections every two months from the ftp site. As part of the International Nucleotide Sequence Database Collaboration (INSDC), a long-standing foundational initiative (operating between DDBJ, EMBL-EBI and NCBI), the INSDC covers the spectrum of data raw reads, through alignments and assemblies to functional annotation, enriched with contextual information relating to samples and experimental configurations. GenBank data submission types include:  mRNA sequences, Prokaryotic genes, Eukaryotic genes, rRNA and/or ITS, viral sequences, transposon or insertion sequences, microsatellite sequences, pseudogenes, cloning vectors, phylogenetic or population sets, and non-coding RNAs.
",ready,repository,"Japan, United States, European Union",1982,National Institutes of Health,Government body,National Center for Biotechnology Information,Government body,NCBI Helpdesk,info@ncbi.nlm.nih.gov,open,open,10.1093/nar/gkr1202; 10.1093/nar/gkq1079; 10.1093/nar/gkm929; 10.1093/nar/gkn723; 10.1093/nar/gks1195; 10.1093/nar/gkt1030; 10.1093/nar/gkx1094; 10.1093/nar/gkz956; 10.1093/nar/gky989; 10.1093/nar/gkw1070; 10.1093/nar/gkv1276; 10.1093/nar/gku1216; 10.1186/s12859-020-3537-3; 10.1093/nar/gkae1114
NCBI Virus,,https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/,2930,"NCBI Virus is a community portal for viral sequence data from RefSeq, GenBank and other NCBI repositories.",ready,knowledgebase,United States,2013,,,"Intramural Research Program (IRP) of the National Institutes of Health, Bethesda, MD; National Library of Medicine (NLM), Bethesda, MD, USA",Government body,James Rodney Brister,jamesbr@ncbi.nlm.nih.gov,open,open,10.1093/nar/gku1207; 10.1093/nar/gkw1065
National Center for Advancing Translational Sciences COVID-19 OpenData Portal,NCATS OpenData Portal,https://opendata.ncats.nih.gov/covid19/,4159,"National Center for Advancing Translational Sciences (NCATS) OpenData Portal development aims to share COVID-19-related drug repurposing data and experiments for all approved drugs. The NCATS OpenData COVID-19 portal is a resource designed for rapid and open sharing of SARS-CoV-2 screening data and assay information for the global health community, measuring over 10,000 compound related assays including the NCATS Pharmaceutical Collection of nearly 3,000 approved drugs. This research was supported by the National Center for Advancing Translational Sciences (NCATS) Intramural Research Program of the NIH, aimed to enable researchers with the resources needed to formulate and test hypotheses, prioritize research opportunities, and efficiently search for effective therapies against viral and disease exposures. ",ready,knowledgebase_and_repository,United States,2020,National Center for Advancing Translational Sciences,Research institute,National Center for Advancing Translational Sciences,Research institute,Matt Hall,hallma@mail.nih.gov,open,not applicable,10.1101/2020.06.04.135046v1; 10.1016/j.drudis.2019.09.019; 10.1126/scitranslmed.3001862
National Institute of Health - National COVID Cohort Collaborative,N3C,https://covid.cd2h.org/,4073,"The National COVID Cohort Collaborative (N3C) is a collaboration among the NCATS-supported Clinical and Translational Science Awards (CTSA) Program hubs, the National Center for Data to Health (CD2H), distributed clinical data networks (PCORnet, OHDSI, ACT, TriNetX), and other partner organizations, with overall stewardship by NIH’s National Center for Advancing Translational Sciences (NCATS). The N3C aims to improve the efficiency and accessibility of analyses with COVID-19 clinical data, expand our ability to analyze and understand COVID, and demonstrate a novel approach for collaborative pandemic data sharing.
",ready,repository,United States,2020,National Institutes of Health; National Center for Advancing Translational Sciences,Research institute; Government body,National Center for Data to Health,Government body,Melissa A. Haendel,haendel@ohsu.edu,controlled,controlled,
National Microbiology Data Center,NMDC,https://nmdc.cn/en,5187,"II.	National Microbiology Science Data Center(NMDC) was established in 2019 by the Institute of Microbiology, Chinese Academy of Sciences. The total amount of NMDC data resources exceeds 6PB, and the number of data records exceeds 5.2 billion, covering the whole life cycle of microbial research, including microbial resources, microbial and cross-technology methods, research process and engineering, microbiomics, microbial technology, microbial literature, patents, experts, and achievements. NMDC builds a systematic and comprehensive national microbial big data system through the construction of a series of key databases, covering global microbial strains classification and research, pathogenic microorganisms, microbiomes, and fungi, and provides information services and communication platforms for microbiology-related workers around the world. During the COVID-19 epidemic, NMDC developed Novel Coronavirus National Science and Technology Resource Service System, established a global scientific data release and sharing platform in the first time, and developed New Coronavirus Variation Evaluation and Early Warning System (VarEPS), which is the first system in the world to provide multi-dimensional risk assessment and early warning for known and virtual variants in the SARS-CoV-2 genome. Based on World Data Center for Microorganisms (WMDC) as a platform, NMDC advocated the Global Catalogue of Microorganisms (GCM) and Global Microbial Type Strain Genome and Microbiome Sequencing Project (GCM 2.0), which has effectively promoted the sharing and utilization of global microbial resources.",ready,knowledgebase_and_repository,China,2019,,,"Institute of Microbiology of the Chinese Academy of Sciences (IMCAS), Beijing, China",Government body,Juncai Ma; Linhuan Wu; Qinglan Sun; Guomei Fan,ma@im.ac.cn; wulh@im.ac.cn; sunql@im.ac.cn; gmfan@im.ac.cn,open,open,
Novartis Clinical Trial Results Database,,https://www.novartis.com/ca-en/healthcare-professionals/novartis-clinical-trials,2961,Novartis launched the results website in 2005 becoming one of the first companies to publically post results from Phase 2b-4 interventional trials. The Novartis position evolved over time to include public disclosure of results from Phase 1- 2a interventional trials in patients.,ready,repository,"France, Switzerland",2005,,,Novartis,Company,General contact,icm.phfr@novartis.com,open,not applicable,
Pediatric COVID-19 Case Registry,,https://www.pedscovid19registry.com/,4069,"The COVID-19 clinical presentation is poorly defined in pediatric populations, as most of the reported known cases are adults. We aim to describe the epidemiology, clinical presentation, management, and outcomes associated with COVID-19 ​among pediatric patients across the United States of America. ​​ 
",deprecated,repository,United States,,,,Pediatric Infectious Diseases Transplant Network; St. Jude Children's Research Hospital,Research institute; Consortium, Pediatric COVID-19 Case Registry Coordinators,PIDTRANCoordinators@stjude.org,controlled,open,
Pregnancy CoRonavIrus Outcomes RegIsTrY,PRIORITY,https://priority.ucsf.edu/,3253,PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY) is a nationwide study of pregnant or recently pregnant people who are either under investigation for Coronavirus infection (COVID-19) or have been confirmed to have COVID-19. This study is being done to help patients and healthcare providers better understand how COVID-19 impacts pregnant people and their newborns.,ready,repository,United States,2020,"CDC Foundation, Atlanta, GA, USA; UCSF COVID-19 Response Fund, San Francisco, CA, USA; Yellow Chair Foundation, San Francisco, CA, USA",Charitable foundation,"University of California, Los Angeles, CA, USA; University of California, San Francisco, CA, USA",University,General contact,PRIORITYCOVID19@ucsf.edu,controlled,controlled,ciaa1411
Protein Data Bank Japan,PDBj,http://www.pdbj.org/,2031,"PDBj (Protein Data Bank Japan) maintains the single global PDB/BMRB/EMDB archives of macromolecular structures and provide integrated tools, under the Joint Usage and Research activities of the Institute for Protein Research. Supports browsing in multiple languages such as Japanese, Chinese, and Korean; SeSAW identifies functionally or evolutionarily conserved motifs by locating and annotating sequence and structural similarities, tools for bioinformaticians, and more.",ready,knowledgebase_and_repository,Japan,2011,"Platform Project for Supporting in Drug Discovery and Life Science Research, Japan Agency for Medical Research and Development; Institute for Bioinformatics Research and Development, Japan Science and Technology Agency; Japan Society for the Promotion of Science; Database Integration Coordination Program from the National Bioscience Database Center",Research institute; Government body; Consortium,Osaka University,University,Haruki Nakamura,harukin@protein.osaka-u.ac.jp,open,open,10.1002/pro.3273; 10.1093/nar/gkr811; 10.1093/database/baq021; 10.1007/s10822-011-9460-y; 10.1093/nar/gkw962; 10.1002/pro.4211
Protein Data Bank in Europe - Knowledge Base,PDBe-KB,http://pdbe-kb.org,2775,"PDBe-KB (Protein Data Bank in Europe - Knowledge Base) is a community-driven resource managed by the PDBe team, collating functional annotations and predictions for structure data in the PDB archive. PDBe-KB is a collaborative effort between PDBe and a diverse group of bioinformatics resources and research teams. The goal of PDBe-KB is two-fold: (i) to increase the visibility and reduce the fragmentation of annotations contributed by specialist data resources, and to make these data more findable, accessible, interoperable and reusable (FAIR) and (ii) to place macromolecular structure data in their biological context, thus facilitating their use by the broader scientific community in fundamental and applied research.",ready,knowledgebase_and_repository,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",2018,,,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK",Research institute,Mihaly Varadi,mvaradi@ebi.ac.uk,open,controlled,10.1093/nar/gky1114; 10.1093/nar/gkz853
"Psoriasis Patient Registry for Outcomes, Therapy and Epidemiology of COVID-19 Infection",PsoProtect,https://psoprotect.org/,4072,"PsoProtect is an international registry for health care providers to report outcomes of COVID-19 in individuals with psoriasis. It provides regular, open access summaries of all reported cases, for the benefit of the international psoriasis community.

",ready,repository,Worldwide,2020,,,St John’s Institute of Dermatology,Research institute,Satveer Mahil,satveer.2.mahil@kcl.ac.uk,controlled,open,10.1016/j.det.2021.05.013; 10.1016/j.jaad.2020.06.050
Public Health Scotland COVID-19 Research Repository,,https://publichealthscotland.scot/population-health/health-protection/infectious-diseases/covid-19/covid-19-research-repository/,4496,"The COVID-19 Research Repository has been developed by Public Health Scotland (PHS) with an aim to bring together and provide access to Scottish COVID-19 research on a single shared platform in order to promote Scottish research to an international audience.

The main objectives of the repository are to:

    -make research easier to find
    -raise awareness of Scottish research
    -track, understand and report on the impact of this work
   - reduce duplication of effort
    -encourage a collaborative, cross-sectoral approach to COVID-19 research in Scotland
    -provide full-text open access to research wherever possible
    -ensure permanent preservation of PHS research",ready,knowledgebase,United Kingdom,2022,,,Public Health Scotland,Government body,Julia Green; James Wilson,Julia.Green@phs.scot; james.wilson3@phs.scot,partially open,controlled,
RCSB Protein Data Bank,RCSB PDB,https://www.rcsb.org/,2044,"The Protein Data Bank archives information about the 3D shapes of proteins, nucleic acids, and complex assemblies that helps students and researchers understand all aspects of biomedicine and agriculture, from protein synthesis to health and disease. As a member of the wwPDB, the RCSB PDB provides simple and advanced searching for macromolecules and ligands, tabular reports, specialized visualization tools, sequence-structure comparisons, Molecule of the Month and other educational resources at PDB-101, and more.",ready,knowledgebase_and_repository,United States,1971,"National Cancer Institute, National Institutes of Health; National Science Foundation; U.S. Department of Energy; National Institute of General Medical Sciences; National Institute of Allergy and Infectious Diseases, National Institutes of Health; National Institutes of Health",Government body,"Rutgers, The State University of New Jersey, USA; University of California San Diego; University of California San Francisco",University,,info@rcsb.org,open,open,10.1093/nar/28.1.235; 10.1093/nar/gkaa1038
RNA Atlas of Structure Probing,RASP,http://rasp.zhanglab.net,3200,"RASP (RNA Atlas of Structure Probing) is build from 161 deduplicated transcriptome-wide RNA secondary structures from datasets culled from 38 papers. RASP covers 18 species across animals, plants, bacteria, fungi, and also viruses, and categorizes 18 experimental methods including DMS-seq, SHAPE-Seq, SHAPE-MaP, and icSHAPE, etc. Specially, RASP curates the up-to-date datasets of several RNA secondary structure probing studies for the RNA genome of SARS-CoV-2. RASP also provides a user-friendly interface to query, browse, and visualize RNA structure profiles, offering a shortcut to accessing RNA secondary structures grounded in experimental data.",ready,knowledgebase,China,2020,"Ministry of Science and Technology, Beijing, China; National Natural Science Foundation of China (NSFC), Beijing, China; National Natural Science Foundation of China (NSFC), Beijing, China; National Natural Science Foundation of China (NSFC), Beijing, China",Government body,Tsinghua University,University,Pan Li,lip16@mails.tsinghua.edu.cn,open,controlled,
Reframedb,Reframedb,https://reframedb.org/,3018,"Reframedb is a comprehensive open-access, drug repositioning screening set of 12,000 compounds that was assembled by combining three widely-used commercial drug competitive intelligence databases (Clarivate Integrity, GVK Excelra GoStar and Citeline Pharmaprojects), together with extensive patent mining of small molecules that have been dosed in humans. To date ~12,000 compounds (~80% of compounds identified from data mining) have been purchased or synthesized, and subsequently plated for screening.",ready,knowledgebase,United States,,,,"Su Lab, La Jolla, CA, USA; Calibr, Scripps Research, La Jolla, CA, USA",Research institute; Lab,Arnab K. Chatterjee,achatterjee@calibr.org,open,not found,10.1073/pnas.1810137115
SARS-CoV-2 Database,,https://covid19.sfb.uit.no,3670,SARS-CoV-2 Database is a knowledge database for SARS-CoV-2 virus research compiled from publicly available resources.,deprecated,knowledgebase,Norway,2020,ELIXIR Norway,Government body,UiT The Arctic University of Norway,University,Nils-Peder Willassen,nils-peder.willassen@uit.no,open,not applicable,
SECURE-Cirrhosis Registry,,https://covidcirrhosis.web.unc.edu/,3256,"SECURE-Cirrhosis Registry is a secure, online, de-identified Personal Health Identifier (PHI)-free reporting registry for patients with chronic liver disease and post-liver transplantation",deprecated,repository,United States,2020,,,,,General contact,covid.cirrhosis@unc.edu,controlled,controlled,S0168-8278(20)33667-9; S2468-1253(20)30271-5
SECURE-Sickle Cell Disease Registry,Secure-SCD Registry,https://covidsicklecell.org/,3289,This registry is designed to capture pediatric and adult COVID-19 cases that are occurring across the world in patients living with sickle cell disease. The goal of the registry is to report on outcomes of cases of COVID-19 in this population of patients.,deprecated,repository,United States,2020,,,"Medical College of Wisconsin (MCW), Wisconsin, USA",University,General contact,covid.sicklecell@mcw.edu,not found,not found,
SIGnaling Network Open Resource,SIGNOR,https://signor.uniroma2.it/,2224,"SIGNOR, the SIGnaling Network Open Resource, organizes and stores in a structured format signaling information published in the scientific literature. The captured information is stored as binary causative relationships between biological entities and can be represented graphically as activity flow. The entire network can be freely downloaded and used to support logic modeling or to interpret high content datasets. Each relationship is linked to the literature reporting the experimental evidence. In addition each node is annotated with the chemical inhibitors that modulate its activity. The signaling information is mapped to the human proteome even if the experimental evidence is based on experiments on mammalian model organisms.",ready,knowledgebase,Italy,2015,"Fraunhofer-Institut fr Angewandte Informationstechnik (FIT), Sankt Augstin, Germany",Research institute,"Bioinformatics and Computational Biology Unit, Molecular Genetics Laboratory, University of Rome Tor Vergata",University,Gianni Cesareni,gianni.cesareni@torvergata.it,open,not applicable,10.1093/nar/gkv1048
SWISS-MODEL Repository of 3D protein structure models,SWISS-MODEL,https://swissmodel.expasy.org/repository/,2061,The SWISS-MODEL Repository is a database of annotated 3D protein structure models generated by the SWISS-MODEL homology-modelling pipeline for protein sequences of selected model organisms.,ready,knowledgebase,Switzerland,1993,,,Swiss Institute of Bioinformatics,Research institute,Torsten Schwede,help-swissmodel@unibas.ch,open,open,10.1093/nar/gkn750; 10.1093/nar/gku340; 10.1093/nar/gkw1132
Sequence Read Archive,SRA,http://www.ncbi.nlm.nih.gov/sra,1978,"The SRA is NIH's primary archive of high-throughput sequencing data and is part of the International Nucleotide Sequence Database Collaboration (INSDC) that includes at the NCBI Sequence Read Archive (SRA), the European Bioinformatics Institute (EBI), and the DNA Database of Japan (DDBJ). Data submitted to any of the three organizations are shared among them. SRA accepts data from all kinds of sequencing projects including clinically important studies that involve human subjects or their metagenomes, which may contain human sequences. These data often have a controlled access via dbGaP (the database of Genotypes and Phenotypes).",ready,repository,United States,2007,,,"National Center for Biotechnology Information (NCBI), Rockville, MD, USA",Government body,General Contact,sra@ncbi.nlm.nih.gov,open,open,10.1093/nar/gkm1000; 10.1093/nar/gkr854; 10.1186/s13742-015-0064-7; 10.5281/zenodo.15677383
Surveillance Epidemiology of Coronavirus (COVID-19) Under Research Exclusion - IBD,SECURE-IBD,https://covidibd.org/,2936,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-IBD) is an international, pediatric and adult database to monitor and report on outcomes of COVID-19 occurring in IBD patients. The goals of the registry is to rapidly define the impact of COVID-19 on patients with IBD and how factors such as age, comorbidities, and IBD treatments impact COVID outcomes.",deprecated,repository,United States,2020,,,"Icahn School of Medicine at Mount Sinai; University of North Carolina, Chapel Hill, USA",Research institute; University,Michael D. Kappelman,Michael_Kappelman@med.unc.edu,not found,not found,
Swedish Pathogens Portal,,https://www.pathogens.se,5042,"The Swedish Pathogens Portal provides information, guidelines, data, services, and other resources aimed at supporting the Swedish research community to share data related to pathogens and pandemic preparedness. It promotes best practices in research data management, and provides direct support to the community as needed. Many of the pages are related to community building and  promoting the research ongoing in Sweden (e.g. pages showing events, funding opportunities, and articles on work sharing data). There are multiple dashboards on the site that display data on, for example, SARS-CoV-2, influenza, and enteric viruses. There are also databases showing the publications and data available from Swedish research related to COVID-19. The site is regularly updated with new features and data, and the team behind the portal is available to provide support and to take suggestions on new features.

The Swedish Pathogens Portal originally launched in June 2020 as the first national node of the European COVID-19 Portal. It has since transitioned to become the first national node of EMBL-EBI's Pathogens Portal (https://www.pathogensportal.org). This makes it an excellent example of transitioning resources to ensure pandemic preparedness.",ready,knowledgebase,Sweden,2020,"The Knut and Alice Wallenberg Foundation; Science for Life Laboratory (SciLifeLab); BY-COVID (BeYond COVID) Project; Swedish Foundation for Strategic Research, Stockholm, Sweden","Government body, University, Research institute; Consortium; Charitable foundation",,,Portal team; SciLifeLab Data Centre ,pathogens@scilifelab.se; datacentre@scilifelab.se,open,controlled,
TARKI Data Archive,TARKI,https://adatbank.tarki.hu/en/,3341,"TARKI is the Hungarian Social Science data archive. It is a member of CESSDA-ERIC and the European Association of Social Science Data Archives. There are more than 800 social science resources in the TÁRKI archive, representing more than 35 years of survey research in Hungary.",ready,repository,Hungary,1985,,,"TARKI Foundation, Budapest, Hungary",Charitable foundation,General Contact,tarki@tarki.hu,controlled,controlled,
The American Society for Hematology Research Collaborative COVID-19 Registry for Hematologic Malignancy,ASH RC COVID-19 Registry for Hematology,https://www.ashresearchcollaborative.org/s/covid-19-registry,3286,"The ASH Research Collaborative (ASH RC) COVID-19 Registry for Hematology, a global public reference tool that is part of the ASH RC Data Hub platform, captures data on individuals who test positive for COVID-19, have a hematologic condition (past or present) and/or have experienced a post-COVID-19 hematologic complication. As data are analyzed, real-time observational summaries are available via a dashboard.",deprecated,repository,United States,2020,,,"The American Society for Hematology Research Collaborative (ASH RC), Washington, DC, USA",Charitable foundation,,info@ashrc.org,open,open,
The COVID-19 and Cancer Consortium,CCC19,https://ccc19.org/,4076,"CCC19 is a consortium of over 120 cancer centers and other organizations who have come together to collect data about patients with cancer who have been diagnosed with COVID-19.
",ready,repository,United States,2020,,,,,CCC19 contact,contact@ccc19.org,partially open,controlled,10.1016/s0140-6736(20)31187-9; 10.1158/2159-8290.cd-20-0941; 10.1016/j.ccell.2020.10.022; 10.1016/j.annonc.2021.02.024; 10.1001/jamaoncol.2021.1799; 10.1111/jth.15463; 10.1001/jamanetworkopen.2021.34330; 10.1016/j.annonc.2021.12.006; 10.1001/jamanetworkopen.2021.42046; 10.1093/ofid/ofac037; 10.1016/s2666-7568(22)00009-5; 10.1158/2643-3230.bcd-22-0013; 10.1001/jamanetworkopen.2022.4304; 10.2139/ssrn.4089485; 10.3390/cancers14174334
The European Genome-phenome Archive,EGA,https://ega-archive.org/,1865,"The European Genome-phenome Archive (EGA) is a service for permanent archiving and sharing of personally identifiable genetic, phenotypic, and clinical data generated for the purposes of biomedical research projects or in the context of research-focused healthcare systems. Access to data must be approved by the specified Data Access Committee (DAC).",ready,repository,"Spain, United Kingdom",2007,Ministerio de Asuntos Economicos y Transformacion Digital; Spanish Instituto de Salud Carlos III Instituto Nacional de Bioinformatica; Centro de Excelencia Severo Ochoa; The Wellcome Trust; Medical Research Council,Government body; Charitable foundation,"European Bioinformatics Institute, Wellcome Genome Campus; Centre for Genomic Regulation",Research institute,EGA Helpdesk,helpdesk@ega-archive.org,controlled,open,10.1038/ng.3312; 10.1093/nar/gkab1059
The ExtraCorporeal Membrane Oxygenation in COVID-19,ECMO in COVID-19,https://www.elso.org/ecmo-resources/covid-19.aspx,3251,The ExtraCorporeal Membrane Oxygenation (ECMO) in COVID-19 website as a resource for centers who may be called on to manage COVID-19 patients.,ready,repository,United States,2020,,,Extracorporeal Life Support Organization,Consortium,Ryan P Barbaro,barbaror@med.umich.edu,open,not applicable,10.1097/MAT.0000000000001422; 10.1097/MAT.0000000000001173; S0140-6736(20)32008-0
The Network Data Exchange,NDEx,https://www.ndexbio.org,2533,"NDEx is an online commons where scientists can upload, share, and publicly distribute biological networks and pathway models. The NDEx Project maintains a web-accessible public server, a documentation website, provides seamless connectivity to the Cytoscape desktop application as well as programmatic access using a variety of languages including Python, Java and R. NDEx users can easily create accounts or sign in using their Google credentials thanks to the supported open authentication (OAUTH2) method and mint DOIs for their networks to use in publications or include in other resources for long term access.",ready,repository,United States,2013,"National Cancer Institute, Rockville, MD, USA; California Digital Library (CDL), University of California, Oakland, CA, USA",University; Government body,"Cytoscape; Ideker Lab, School of Medicine, UC San Diego",Lab; Consortium,Rudolf T. Pillich,rpillich@ucsd.edu,open,open,10.1007/978-1-4939-6783-4_13; 10.1016/j.cels.2015.10.001; 10.1158/0008-5472.CAN-17-0606; 10.1002/cpz1.258
